Title,Retail DVD Price,NEW DVD PRICE,Retail DVD UPC,Blu-ray Price,NEW BLU RAY PRICE,Blu-ray UPC
Drifters,$14.95,29.95,616892669425,n/a,,n/a
El Bola,$14.95,29.95,616892622529,n/a,,n/a
Falling Angels,$14.95,29.95,616892612421,n/a,,n/a
Forever My Love,$14.95,29.95,859686006963,n/a,,n/a
Ginger and Cinnamon,$14.95,29.95,616892623229,n/a,,n/a
He Died With a Felafel in His Hand,$14.95,29.95,616892622628,n/a,,n/a
Hop,$14.95,29.95,616892623120,n/a,,n/a
Inch'Allah Dimanche,$14.95,29.95,616892630425,n/a,,n/a
Le Grand Voyage,$14.95,29.95,616892650027,n/a,,n/a
Light of My Eyes,$14.95,29.95,616892612926,n/a,,n/a
"Long Life, Happiness and Prosperity",$14.95,29.95,616892630623,n/a,,n/a
Manito,$14.95,29.95,616892622925,n/a,,n/a
Marion Bridge,$14.95,29.95,616892622826,n/a,,n/a
Morlang,$14.95,29.95,616892623328,n/a,,n/a
Nights with Theodore,$14.95,29.95,857692005505,n/a,,n/a
OT: Our Town,$14.95,29.95,616892572022,n/a,,n/a
Raja,$14.95,29.95,616892574927,n/a,,n/a
Tailgate,$14.95,29.95,843501035740,n/a,,n/a
The Middle of the World,$14.95,29.95,616892578826,n/a,,n/a
The Party's Over,$14.95,29.95,616892598329,n/a,,n/a
The Rage in Placid Lake,$14.95,29.95,616892587422,n/a,,n/a
The Republic of Love,$14.95,29.95,616892594925,n/a,,n/a
The Rifleman,$14.95,29.95,850021115388,n/a,,n/a
Wilby Wonderful,$14.95,29.95,616892633020,n/a,,n/a
Hero on the Front (1918),$14.98,29.95,850003924885,n/a,,n/a
Aaltra,$19.95,29.95,616892802228,n/a,,n/a
Adam's Apples,$19.95,29.95,616892935629,n/a,,n/a
Agata and the Storm,$19.95,29.95,616892657125,n/a,,n/a
Alexandra's Project,$19.95,29.95,616892628729,n/a,,n/a
"Anytown, USA",$19.95,29.95,616892686729,n/a,,n/a
A Peck on the Cheek,$19.95,29.95,616892814320,n/a,,n/a
Arranged,$19.95,29.95,616892945529,n/a,,n/a
A Simple Curve,$19.95,29.95,616892876229,n/a,,n/a
August the First,$19.95,29.95,616892956327,n/a,,n/a
Between Shadow and Soul,$19.95,29.95,850003924861,n/a,,n/a
Be With Me,$19.95,29.95,616892803621,n/a,,n/a
Buddy,$19.95,29.95,616892607212,n/a,,n/a
Campfire,$19.95,29.95,616892673125,n/a,,n/a
Carol's Journey,$19.95,29.95,616892570622,n/a,,n/a
Day Break,$19.95,29.95,616892811626,n/a,,n/a
Dreams of Dust,$19.95,29.95,616892929925,n/a,,n/a
Familia,$19.95,29.95,616892814429,n/a,,n/a
Festival Shorts Collection,$19.95,29.95,616892949725,n/a,,n/a
Hands of God,$19.95,29.95,850003924441,n/a,,n/a
"Hawaii, Oslo",$19.95,29.95,616892693925,n/a,,n/a
Her Name is Sabine,$19.95,29.95,616892941125,n/a,,n/a
Let the Church Say Amen,$19.95,29.95,616892636328,n/a,,n/a
Madeinusa,$19.95,29.95,616892883722,n/a,,n/a
Men at Work,$19.95,29.95,616892844822,n/a,,n/a
Monster Thursday,$19.95,29.95,616892828129,n/a,,n/a
Mother of Mine,$19.95,29.95,616892895626,n/a,,n/a
Noise,$19.95,29.95,616892960522,n/a,,n/a
Roads to Koktebel,$19.95,29.95,616892660828,n/a,,n/a
Room 304,$19.95,29.95,859686006970,n/a,,n/a
Something Like Happiness,$19.95,29.95,616892803720,n/a,,n/a
Spare Parts,$19.95,29.95,616892678724,n/a,,n/a
