Title,Retail DVD Price,NEW DVD PRICE,Retail DVD UPC,Blu-ray Price,NEW BLU RAY PRICE,Blu-ray UPC
Tanta Agua,$24.95,29.95,616892186861,n/a,,n/a
Teddy Bear,$24.95,29.95,616892184768,n/a,,n/a
Temblores,$24.95,29.95,850003924533,n/a,,n/a
That Click,$24.95,29.95,850021115272,n/a,,n/a
That Pärt Feeling - The Universe of Arvo Pärt,$24.95,29.95,850003924304,n/a,,n/a
The Ardennes,$24.95,29.95,857692005994,n/a,,n/a
The Auction,$24.95,29.95,616892187967,n/a,,n/a
The Automatic Hate,$24.95,29.95,857692005727,n/a,,n/a
The Barefoot Artist,$24.95,29.95,857692005437,n/a,,n/a
The Beatles: Made on Merseyside,$24.95,29.95,850003924267,n/a,,n/a
The Carer,$24.95,29.95,896137001344,n/a,,n/a
The Chambermaid Lynn,$24.95,29.95,857692005154,n/a,,n/a
The Charmer,$24.95,29.95,859686006901,n/a,,n/a
The Chronicles of Melanie,$24.95,29.95,896137001474,n/a,,n/a
The Colors of the Mountain,$24.95,29.95,616892142966,n/a,,n/a
The Columnist,$24.95,29.95,850021115166,n/a,,n/a
The Country Teacher,$24.95,29.95,616892989721,n/a,,n/a
The Dancing Dogs of Dombrova,$24.95,29.95,850003924915,n/a,,n/a
The Dark Valley,$24.95,29.95,616892188568,n/a,,n/a
The Day I Saw Your Heart,$24.95,29.95,616892185062,n/a,,n/a
The Deflowering of Eva Van End,$24.95,29.95,616892186069,n/a,,n/a
The Demons,$24.95,29.95,850003924465,n/a,,n/a
The Dinner,$24.95,29.95,857692005215,n/a,,n/a
The Drummer,$24.95,29.95,616892044963,n/a,,n/a
The Dynamiter,$24.95,29.95,616892184669,n/a,,n/a
The Earth is Blue as an Orange,$24.95,29.95,850021115739,n/a,,n/a
The Entity,$24.95,29.95,857692005789,n/a,,n/a
The Gambler,$24.95,29.95,857692005543,n/a,,n/a
The Greatest Ears in Town: The Arif Mardin Story,$24.95,29.95,859686006000,n/a,,n/a
The Grocer's Son,$24.95,29.95,616892966227,n/a,,n/a
The Human Resources Manager,$24.95,29.95,616892146414,n/a,,n/a
The Ice King,$24.95,29.95,850003924328,n/a,,n/a
The Ignorance of Blood,$24.95,29.95,857692005772,n/a,,n/a
The Interrogation,$24.95,29.95,896137001313,n/a,,n/a
The Iran Job,$24.95,29.95,616892186663,n/a,,n/a
The Jewish Cardinal,$24.95,29.95,616892187264,n/a,,n/a
The King of Laughter,$24.95,29.95,850021115852,n/a,,n/a
The Lesson,$24.95,29.95,857692005178,n/a,,n/a
The Maneater,$24.95,29.95,857692005529,n/a,,n/a
The Miracle of the Little Prince,$24.95,29.95,850003924427,n/a,,n/a
The Mirror,$24.95,29.95,857692005635,n/a,,n/a
The New Deal For Artists,$24.95,29.95,896137001085,n/a,,n/a
The Nun,$24.95,29.95,857692005239,n/a,,n/a
The Other Side,$24.95,29.95,857692005697,n/a,,n/a
The Paris Opera,$24.95,29.95,859686006437,n/a,,n/a
The Piano in a Factory,$24.95,29.95,616892146360,n/a,,n/a
The Pope's Toilet,$24.95,29.95,616892971320,n/a,,n/a
The President,$24.95,29.95,896137001290,n/a,,n/a
The Railway Children,$24.95,29.95,859686006512,n/a,,n/a
The Real American: Joe McCarthy,$24.95,29.95,896137001184,n/a,,n/a
The Rising Sun,$24.95,29.95,896137001382,n/a,,n/a
The Road to Mandalay,$24.95,29.95,850021115012,n/a,,n/a
The Settlers,$24.95,29.95,859686006451,n/a,,n/a
The Seventh Fire,$24.95,29.95,857692005741,n/a,,n/a
The Shepherd,$24.95,29.95,896137001481,n/a,,n/a
The Sower,$24.95,29.95,859686006895,n/a,,n/a
The Teacher,$24.95,29.95,859686006239,n/a,,n/a
The Third Wife,$24.95,29.95,850003924298,n/a,,n/a
The Three-Way Wedding,$24.95,29.95,859686006710,n/a,,n/a
The Trap,$24.95,29.95,616892971221,n/a,,n/a
The Two Horses of Genghis Khan,$24.95,29.95,896137001269,n/a,,n/a
The War Show,$24.95,29.95,859686006383,n/a,,n/a
The Whaler Boy,$24.95,29.95,850021115340,n/a,,n/a
The White King,$24.95,29.95,859686006369,n/a,,n/a
The Wind Journeys,$24.95,29.95,616892068662,n/a,,n/a
The Window,$24.95,29.95,616892001966,n/a,,n/a
They Say Nothing Stays the Same,$24.95,29.95,850021115531,n/a,,n/a
Three Worlds,$24.95,29.95,616892186168,n/a,,n/a
To Kill a Man,$24.95,29.95,616892188469,n/a,,n/a
Traitors,$24.95,29.95,857692005147,n/a,,n/a
Troubled Water,$24.95,29.95,616892062868,n/a,,n/a
True Mothers,$24.95,29.95,850021115302,n/a,,n/a
Twin Flower,$24.95,29.95,850003924434,n/a,,n/a
Two Hundred Thousand Dirty,$24.95,29.95,896137001245,n/a,,n/a
Ulysses & Mona,$24.95,29.95,850003924342,n/a,,n/a
Under the Bombs,$24.95,29.95,616892974420,n/a,,n/a
Un Traductor,$24.95,29.95,859686006888,n/a,,n/a
Vasermil,$24.95,29.95,616892166566,n/a,,n/a
Vincent Wants to Sea,$24.95,29.95,896137001139,n/a,,n/a
Watchtower,$24.95,29.95,616892187066,n/a,,n/a
Waterboys,$24.95,29.95,896137001450,n/a,,n/a
Welcome,$24.95,29.95,616892075110,n/a,,n/a
What If? Ehud Barak on War and Peace,$24.95,29.95,,n/a,,n/a
Where I Belong,$24.95,29.95,896137001535,n/a,,n/a
White Riot,$24.95,29.95,850021115074,n/a,,n/a
Why Is We Americans?,$24.95,29.95,896137001719,n/a,,n/a
Wildland,$24.95,29.95,850021115487,n/a,,n/a
Will You Still Love Me Tomorrow?,$24.95,29.95,616892187165,n/a,,n/a
Winter Flies,$24.95,29.95,850003924403,n/a,,n/a
Within the Whirlwind,$24.95,29.95,896137001191,n/a,,n/a
Women Composers,$24.95,29.95,850021115364,n/a,,n/a
Wondrous Boccaccio,$24.95,29.95,857692005604,n/a,,n/a
XXY,$24.95,29.95,616892965022,n/a,,n/a
"Yalda, a Night for Forgiveness",$24.95,29.95,850021115142,n/a,,n/a
You Will be Mine,$24.95,29.95,859686006703,n/a,,n/a
You Will Die At Twenty,$24.95,29.95,850021115357,n/a,,n/a
Zombi Child,$24.95,29.95,850003924618,n/a,,n/a
Adieu Godard,$29.95,29.95,850021115777,n/a,,n/a
A Radiant Girl,$29.95,$29.95,,n/a,,n/a
Are You Lonesome Tonight?,$29.95,$29.95,,n/a,,n/a
Belle & Sebastian: The Adventure Continues,$29.95,$29.95,850021115913,n/a,,n/a
Chess Story,$29.95,$29.95,,n/a,,n/a
Children of the Mist,$29.95,$29.95,,n/a,,n/a
Drive-In Retro Classics: Science Fiction Triple Feature,$29.95,34.95,896137001702,n/a,,n/a
Hinterland,$29.95,$29.95,850021115821,n/a,,n/a
Lines of Wellington,$29.95,$29.95,857692005055,n/a,,n/a
Mad Tiger,$29.95,$29.95,857692005970,n/a,,n/a
Queen of Glory,$29.95,$29.95,850021115807,n/a,,n/a
Sweetheart,$29.95,$29.95,,n/a,,n/a
The Mission,$29.95,$29.95,,n/a,,n/a
The Real Thing,$29.95,34.95,850021115371,n/a,,n/a
Two Films by Sergei Eisenstein: October & Alexander Nevsky,$29.95,34.95,896137001689,n/a,,n/a
Unidentified,$29.95,$29.95,850021115784,n/a,,n/a
Beyond Borders: Stories of Interfaith Friendship,$39.95,44.95,857692005017,n/a,,n/a
Sara Stein - From Berlin to Tel Aviv: The Complete Series,$39.95,44.95,850003924199,n/a,,n/a
The Corinth Films Historical Drama Collection,$44.95,49.95,896137001696,n/a,,n/a
The Early Films of Lee Isaac Chung,$44.95,49.95,850021115494,n/a,,n/a
Faces of Israel: New Israeli Cinema,$49.95,54.95,857692005024,n/a,,n/a
Voices from Ukraine,$49.95,$49.95,850021115838,n/a,,n/a
The Female Gaze: Contemporary Films by Women,$79.95,84.95,857692005000,n/a,,n/a
